BAR NUMBER;TIME SIGNATURE;DIVISION;TEMPO;REHEARSAL MARKING;TEXT MARKING
1;4/4;;52;;Maestoso
2;3/4;;;;
3;6/4;;;;
4;4/4;;;;
5;;;;;
6;3/4;;;;
7;5/4;;;;
8;4/4;;;8;
9;;;;;
10;;;;;
11;;;;;
12;;;;;
13;5/4;;;;
14;2/4;;;;
15;4/4;;;15;Piu mosso
16;6/4;;;;
17;4/4;;;;
18;;;;;
19;;;;;
20;;;;20;
21;6/4;;;;
22;4/4;;;;
23;;;;;
24;;;;;
25;;;;;
26;;;46;26;Lento
27;;;;;
28;;;;;
29;;;;;
30;;;;;
31;;;176;31;Presto
32;;;;;
33;;;;;
34;3/8;;;;
35;4/4;;;;
36;3/8;;;;
37;4/4;;;;
38;3/8;;;;
39;4/4;;;;
40;3/8;;;;
41;4/4;;;41;
42;3/8;;;;
43;2/4;;;;
44;6/8;;;;
45;4/4;;;;
46;3/8;;;;
47;4/4;;;;
48;;;;48;
49;5/4;;;;
50;4/4;;;;
51;;;;;
52;;;;;
53;7/8;2+2+3;;;
54;4/4;;;54;
55;5/4;;;;
56;4/4;;;;
57;;;;;
58;6/8;;;;
59;4/4;;;59;
60;3/4;;;;
61;4/4;;;;
62;3/4;;;;
63;5/8;;;;
64;4/4;;;;
65;3/4;;;;
66;4/4;;;66;
67;;;;;
68;;;;;
69;;;;;
70;3/4;;;;
71;6/8;;;;
72;4/4;;;72;
73;3/8;;;;
74;10/8;2+2+3+3;;;
75;2/4;;;;
76;7/8;2+2+3;;;
77;9/8;;;;
78;4/4;;;78;
79;2/4;;;;
80;10/8;2+2+3+3;;;
81;2/4;;;;
82;7/8;2+2+3;;;
83;9/8;;;;
84;4/4;;;84;
85;3/8;;;;
86;10/8;2+2+3+3;;;
87;2/4;;;;
88;7/8;2+2+3;;;
89;9/8;;;;
90;4/4;;;90;
91;2/4;;;;
92;10/8;2+2+3+3;;;
93;2/4;;;;
94;7/8;2+2+3;;;
95;5/4;;;;
96;4/4;;;96;
97;3/8;;;;
98;9/8;;;;
99;4/4;;;99;
100;;;;;
101;;;;;
102;;;;;
103;;;;;
104;;;;;
105;;;;;
106;;;;;
107;;;;107;
108;;;;;
109;;;;;
110;5/8;2+3;;;
111;4/4;;;;
112;;;;;
113;;;;;
114;7/8;2+2+3;;;
115;4/4;;;115;
116;;;;;
117;;;;;
118;3/4;;;;
119;4/4;;;119;
120;5/4;;;;
121;4/4;;;;
122;;;;;
123;;;;;
124;7/8;2+2+3;;;
125;4/4;;;125;
126;5/4;;;;
127;4/4;;;;
128;;;;;
129;6/8;;;;
130;10/8;2+2+3+3;;130;
131;;3+3+2+2;;;
132;;2+2+3+3;;;
133;;3+3+2+2;;;
134;;2+2+3+3;;;
135;;3+3+2+2;;;
136;;2+2+3+3;;;
137;;3+3+2+2;;;
138;;2+2+3+3;;138;
139;;3+3+2+2;;;
140;;2+2+3+3;;;
141;;3+3+2+2;;;
142;;2+2+3+3;;;
143;;3+3+2+2;;;
144;;2+2+3+3;;;
145;;3+3+2+2;;;
146;;2+2+3+3;;146;
147;;3+3+2+2;;;
148;;2+2+3+3;;;
149;;3+3+2+2;;;
150;;2+2+3+3;;;
151;;3+3+2+2;;;
152;;2+2+3+3;;;
153;;3+3+2+2;;;
154;;2+2+3+3;;154;
155;;3+3+2+2;;;
156;;2+2+3+3;;;
157;;3+3+2+2;;;
158;;2+2+3+3;;;
159;;3+3+2+2;;;
160;4/4;;;160;
161;;;;;
162;;;;;
163;;;;;
164;10/8;2+2+3+3;;164;
165;;3+3+2+2;;;
166;;2+2+3+3;;;
167;;3+3+2+2;;;
168;7/8;2+2+3;;;
169;5/8;2+3;;;
170;9/8;;;;
171;7/8;2+2+3;;;
172;3/4;;;;
173;5/8;2+3;;;
174;4/4;;;174;
175;;;;;
176;;;;;
177;;;;;
178;;;;;
179;;;;;
180;3/4;;;;
181;4/4;;;;
182;;;;;
183;;;84;183;
184;;;;;
185;;;;;
186;;;;;
187;;;;;
188;;;;;
189;;;;;
190;;;;;
191;;;;;
192;;;84;192;
193;;;;;
194;;;;;
195;;;;;
196;;;;;
197;;;;;
198;;;;;
199;;;;199;
200;;;;;
201;;;;;
202;;;;;
203;;;;;
204;;;;;
205;;;52;;Largo
206;;;;;
207;;;;;
208;;;;;
209;;;;;
210;;;;;
211;;;;;
212;;;;;
213;;;;213;
214;2/4;;;;
215;4/4;;;;
216;;;;;
217;;;;;
218;;;;;
219;;;;;
220;2/4;;;;
221;4/4;;;;
222;;;;;
223;;;;;
224;;;;;
225;;;;225;
226;2/4;;;;
227;4/4;;;;
228;;;;;
229;;;;;
230;3/4;;56;230;Poco più mosso
231;;;;;
232;2/4;;;;
233;4/4;;;;
234;;;;;
235;3/4;;;;
236;;;;;
237;;;;;
238;;;;;
239;;;;239;
240;;;;;
241;;;;;
242;;;;;
243;;;;;
244;;;;;
245;;;;;
246;;;;;
