BAR NUMBER;TIME SIGNATURE;DIVISION;TEMPO;REHEARSAL MARKING;TEXT MARKING
1;4/4;;52;;Misterioso
2;;;;;
3;;;;;
4;;;;;
5;;;;;
6;;;;;
7;;;;;
8;;;;;
9;;;;9;
10;;;;;
11;;;;;
12;;;;;
13;;;;;
14;;;;;
15;;;;;
16;;;;;
17;2/4;;;;
18;3/4;;44;18;Sostenuto
19;;;;;
20;;;;;
21;;;;;
22;;;68;22;Poco più mosso
23;;;;;
24;;;;;
25;;;;;
26;;;;;
27;;;44;27;
28;;;;;
29;;;;;
30;;;;;
31;;;68;31;
32;;;;;
33;;;;;
34;;;;;
35;;;;;
36;;;44;36;
37;;;;;
38;;;acc;;
39;;;52;;
40;;;;;
41;;;rit;;
42;4/4;;44;42;
43;3/4;;52;;
44;;;;;
45;;;;;
46;;;;;
47;4/4;;rit;;
48;3/4;;44;48;
49;;;;;
50;2/4;;;;
51;3/4;;;;
52;5/4;;;;
53;;;;;
54;;;60;54;A piacere
55;;;;;
56;;;;;
57;;;;;
58;;;;;
59;4/4;;;;
60;;;;;
61;3/4;;;;
62;4/4;;;62;
63;;;;;
64;3/4;;;;
65;4/4;;;65;
66;;;;;
67;;;;;
68;;;;;
69;;;;;
70;;;;;
71;;;;;
72;;;;;
73;;;;;
74;;;;;
75;;;;;
76;6/8;;210;76;Allegro
77;;;;;
78;;;;;
79;;;;;
80;;;;;
81;;;;;
82;;;;;
83;;;;;
84;;;;;
85;;;;;
86;;;;;
87;;;;;
88;;;;;
89;;;;;
90;;;;;
91;;;;;
92;;;;92;
93;;;;;
94;;;;;
95;;;;;
96;;;;;
97;;;;;
98;;;;;
99;;;;;
100;;;;;
101;;;;;
102;;;;;
103;;;;;
104;;;;;
105;;;;;
106;;;;;
107;;;;;
108;;;;108;
109;;;;;
110;;;;;
111;;;;;
112;;;;;
113;;;;;
114;;;;;
115;;;;;
116;;;;;
117;;;;;
118;;;;;
119;;;;;
120;;;;;
121;;;;;
122;;;;;
123;;;;123;
124;;;;;
125;;;;;
126;;;;;
127;;;;;
128;;;;;
129;;;;;
130;;;;;
131;;;;131;
132;;;;;
133;;;;;
134;;;;;
135;;;;;
136;;;;;
137;;;;;
138;;;;;
139;;;;;
140;;;;;
141;;;;;
142;;;;;
143;;;;143;
144;;;;;
145;;;;;
146;;;;;
147;;;;;
148;;;;;
149;;;;;
150;;;;150;
151;;;;;
152;;;;;
153;;;;;
154;;;;;
155;;;;;
156;;;;;
157;;;;;
158;;;;;
159;;;;;
160;;;;;
161;;;;;
162;;;;162;
163;;;;;
164;;;;;
165;;;;;
166;;;;;
167;;;;;
168;;;;;
169;;;;;
170;;;;;
171;;;;;
172;;;;;
173;;;;;
174;;;;;
175;;;;;
176;;;;;
177;;;;;
178;;;;;
179;;;;;
180;;;;180;
181;;;;;
182;;;;;
183;;;;;
184;;;;;
185;;;;;
186;;;;;
187;;;;;
188;;;;;
189;;;;;
190;;;;;
191;;;;;
192;;;;;
193;;;;;
194;;;;;
195;;;;;
196;;;;196;
197;;;;;
198;;;;;
199;;;;;
200;;;;;
201;;;;;
202;;;;;
203;;;;;
204;;;;204;
205;;;;;
206;;;;;
207;;;;;
208;;;;;
209;;;;;
210;;;;;
211;;;;;
212;;;;;
213;;;;;
214;;;;;
215;;;;;
216;;;;;
217;;;;;
218;;;;;
219;;;;;
220;;;;220;
221;;;;;
222;;;;;
223;;;;;
224;;;;;
225;;;;;
226;;;;;
227;;;;;
228;;;;;
229;;;;;
230;;;;;
231;;;;;
232;;;;;
233;;;;234;
234;;;;;
235;;;;;
236;;;;;
237;;;;;
238;;;;;
239;;;;;
240;;;;;
241;;;;;
242;;;;;
243;;;;;
244;;;;;
245;;;;;
246;;;;;
247;;;;;
248;;;;;
249;;;;;
250;;;;250;
251;;;;;
252;;;;;
253;;;;;
254;;;;;
255;;;;;
256;;;;;
257;;;;;
258;;;;;
259;4/4;;156;259;Presto
260;;;;;
261;;;;;
262;;;;;
263;;;;;
264;;;;;
265;;;;;
266;;;;;
267;;;;;
268;;;;;
269;;;;;
270;;;;;
271;;;;;
272;;;;;
273;;;;;
274;;;;;
275;;;;275;
276;;;;;
277;;;;;
278;;;;;
279;;;;;
280;;;;;
281;;;;;
282;;;;;
283;;;;;
284;;;;;
285;;;;;
286;;;;;
287;;;;287;
288;;;;;
289;;;;;
290;;;;;
291;;;;;
292;;;;;
293;;;;;
294;;;;;
295;;;;;
296;3/4;;;;
297;4/4;;;;
298;3/4;;;298;
299;;;;;
300;;;;;
301;;;;;
302;;;;;
303;;;;;
304;;;;;
305;;;;;
306;;;;306;
307;;;;;
308;;;;;
309;;;;;
310;;;;;
311;;;;;
312;;;;;
313;4/4;;;313;
314;3/8;;;;
315;4/4;;;;
316;3/8;;;;
317;4/4;;;;
318;;;;;
319;3/8;;;;
320;;;;;
321;3/4;;;;
322;4/4;;;322;
323;3/4;;;;
324;3/8;;;;
325;4/4;;;;
326;2/4;;;;
327;3/8;;;;
328;;;;;
329;4/4;;;;
330;3/8;;;;
331;3/4;;;;
332;3/8;;;;
333;;;;;
334;;;;;
335;;;;;
336;3/4;;;336;
337;;;;;
338;;;;;
339;;;;;
340;;;;;
341;;;;;
342;;;;;
343;;;;;
344;;;;;
345;;;;;
346;;;;;
347;;;;;
348;;;;;
349;;;;;
350;;;;;
351;4/4;;;351;
352;3/8;;;;
353;4/4;;;;
354;3/8;;;;
