BAR NUMBER;TIME SIGNATURE;DIVISION;TEMPO;REHEARSAL MARKING;TEXT MARKING
1;4/4;;72;;Con moto
2;;;;;
3;;;;;
4;;;;;
5;;;;;
6;;;;;
7;;;;;
8;;;54;;Lento
9;;;;;
10;3/4;;;;
11;4/4;;;;
12;;;;;
13;;;;;
14;;;;;
15;;;;;
16;;;;;
17;;;;;
18;;;;H;Poco più movimento
19;;;;;
20;;;;;
21;;;;;
22;;;72;;Tempo primo
23;;;;;
24;;;;;
25;;;;;
26;;;;;
27;;;;;
28;;;;;
29;;;;;
30;;;;;
31;;;;;
32;;;;;
33;;;;;
34;;;;;
35;;;;;
36;;;60;J;Poco più mosso
37;;;;;
38;;;;;
39;;;;;
40;;;;;
41;;;;;
42;;;;;
43;;;;;
44;;;;;
45;;;;;
46;;;;;
47;;;;;
48;;;;;
49;;;;;
50;;;;;
51;;;;;
52;;;;K;
53;;;;;
54;;;;;
55;;;;;
56;;;;;
57;;;;;
58;;;;;
59;;;;;
60;;;;;
61;;;;;
62;;;;;
63;;;;;
64;;;;;
65;;;;;
66;;;;;
67;;;72;;Tempo primo
68;;;;;
69;;;;;
70;;;;;
71;;;;;
72;;;;;
73;;;;;
74;;;54;L;Lento
75;;;;;
76;3/4;;;;
77;4/4;;;;
78;;;;;
79;;;;;
80;;;;;
81;;;;;
82;;;;;
83;;;;;
84;;;;;
85;;;;;
86;;;;;
87;;;;;
88;;;;;
89;;;;;
