BAR NUMBER;TIME SIGNATURE;DIVISION;TEMPO;REHEARSAL MARKING;TEXT MARKING
1;2/4;;138;;Molto Vivace
2;;;;;
3;;;;;
4;;;;;
5;3/8;;;;
6;2/4;;;;
7;;;;;
8;;;;;
9;;;;;
10;3/4;;;;
11;2/4;;;;
12;;;;;
13;;;;;
14;3/4;;;;
15;;;;;
16;;;;M;
17;;;;;
18;2/4;;;;
19;3/4;;;;
20;2/4;;;;
21;3/4;;;;
22;2/4;;;;
23;;;;;
24;;;;;
25;;;;;
26;;;;;
27;;;;;
28;;;;;
29;;;;;
30;;;;;
31;;;;;
32;;;;;
33;;;;;
34;;;;;
35;3/4;;;;
36;2/4;;;N;
37;3/4;;;;
38;;;;;
39;2/4;;;;
40;3/4;;;;
41;2/4;;;;
42;3/4;;;;
43;;;;;
44;;;;;
45;;;;;
46;;;;;
47;;;;;
48;;;;;
49;4/4;;;;
50;;;;;
51;3/4;;;O;
52;;;;;
53;;;;;
54;;;;;
55;;;;;
56;2/4;;;;
57;3/4;;;;
58;2/4;;;;
59;;;;;
60;;;;;
61;;;;;
62;;;;;
63;;;;;
64;;;;;
65;;;;;
66;;;;P;
67;;;;;
68;;;;;
69;;;;;
70;;;;;
71;;;;;
72;;;;;
73;;;;;
74;;;;;
75;;;;;
76;;;;;
77;;;;;
78;;;;;
79;;;;;
80;3/4;;;;
81;2/4;;;;
82;;;;;
83;;;;;
84;;;;;
85;;;;;
86;;;;;
87;;;;;
88;;;;;
89;;;;Q;
90;;;;;
91;;;;;
92;;;;;
93;;;;;
94;;;;;
95;;;;;
96;;;;;
97;;;;;
98;;;;;
99;;;;;
100;;;;;
101;;;;;
102;;;;;
103;;;;;
104;;;;;
105;;;;R;
106;;;;;
107;;;;;
108;;;;;
109;3/8;;;;
110;2/4;;;;
111;;;;;
112;;;;;
113;;;;;
114;3/8;;;;
115;2/4;;;;
116;;;;;
117;;;;;
118;3/4;;;;
119;2/4;;;S;
120;;;;;
121;;;;;
122;;;;;
123;;;;;
124;;;;;
125;;;;;
126;;;;;
127;;;;;
128;;;;;
129;;;;;
130;;;;;
131;;;;;
132;;;;;
133;;;;;
134;;;;;
135;;;;;
136;;;;;
137;;;;;
138;;;;;
139;;;;;
140;;;;;
141;;;;;
142;;;;T;
143;;;;;
144;;;;;
145;;;;;
146;;;;;
147;;;;;
148;;;;;
149;;;;;
150;;;;;
151;3/4;;;;
152;2/4;;;U;
153;;;;;
154;;;;;
155;;;;;
156;;;;;
157;;;;;
158;;;;;
159;;;;;
160;;;;;
161;;;;;
162;;;;;
163;;;;;
164;;;;;
165;;;;;
166;;;;;
167;;;;;
168;;;;;
169;;;;V;
170;;;;;
171;;;;;
172;;;;;
173;3/8;;;;
174;2/4;;;;
175;;;;;
176;;;;;
177;;;;;
178;;;;;
179;3/4;;;;
180;2/4;;;;
181;;;;;
182;;;;;
183;;;;;
184;;;;;
185;3/4;;;W;
186;2/4;;;;
187;3/4;;;;
188;2/4;;;;
189;;;;;
190;;;;;
191;;;;;
192;;;;;
193;;;;;
194;;;;;
195;;;;;
196;;;;;
197;;;;;
198;;;;;
199;;;;;
200;;;;;
201;3/4;;;;
202;2/4;;;X;
203;3/4;;;;
204;;;;;
205;2/4;;;;
206;3/4;;;;
207;2/4;;;;
208;3/4;;;;
209;2/4;;;;
210;;;;;
211;;;;;
212;;;;;
213;;;;;
214;;;;;
215;;;;;
216;;;;;
217;;;;;
218;;;;;
219;;;;;
220;;;;Y;
221;;;;;
222;;;;;
223;;;;;
224;;;;;
225;;;;;
226;;;;;
227;;;;;
228;;;;;
229;;;;;
230;;;;;
231;;;;;
232;;;;;
233;;;;;
234;;;;;
235;;;;;
236;;;;;
237;;;;;
238;;;;Z;Accellerando
239;;;;;
240;;;;;
241;;;;;
242;;;;;Più mosso
243;;;;;
244;;;;;
245;;;;;
246;;;;;
247;;;;;
248;;;;;
249;;;;;
250;;;;;
251;;;;;
252;;;;;
253;;;;;
254;;;;;
255;;;;;
256;;;;;
